loss_rate_percent,median_fct95_s,max_fct95_s,median_fct99_s,max_fct99_s,median_fct100_s,max_fct100_s
0,7.1087234502,11.8772688924,7.4334646122,12.2700058402,7.467497765599999,12.4332148284
0.01,7.2925468452,9.7754339432,7.5174875312,10.0151704376,7.6626192538,10.269900147
0.1,7.102329127599999,10.6876534334,7.298315316,10.9493825008,7.3524671572,10.9992071568
1,10.2267350184,13.346244841,10.638645670399999,13.8038551296,10.7419377576,13.931287464799999
